type,name,label,label::Arabic,hint,hint::Arabic,appearance,required,calculation,constraint,constraint_message,constraint_message::Arabic,relevant,default,repeat_count,choice_filter,
integer,Q5_7_1_What_is_the_percentage_used_on_agricultural_purposes,5.7.1 What is the % used on agricultural purposes,5.7.1 ???? ?????? ????????? ??????? ?????????,(Numbers),(????????),numbers,yes,,.>0 and .<=100,0-100,0-100,"selected(${Q5_7_Do_you_use_water_from_these_sources_for_agricultural_purposes_farming_animal_watering},'Yes')",,,,
select_one yes_no,Q5_8_Are_you_differentiating_in_any_way_between_your_drinking_water_and_non_drinking_water,5.8 Are you differentiating in any way between your drinking water and non-drinking water?,5.8 ?? ???? ??? ????? ??? ???? ????? ??????? ??? ??????? ??????,(Select one),(???? ?????),,yes,,,,,,,,,
select_multiple q050801R,Q5_8_1_What_are_you_doing_differently,5.8.1 What are you doing differently? ,5.8.1 ???? ???? ??? ??? ??????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,,,,"selected(${Q5_8_Are_you_differentiating_in_any_way_between_your_drinking_water_and_non_drinking_water},'Yes')",,,,
text,Q5_8_1_Other,5.8.1 Other (specify),5.8.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_8_1_What_are_you_doing_differently},'Other')",,,,
select_one q05080101R,Q5_8_1_1_How_did_you_treat_drinking_water,5.8.1.1 How did you treat drinking water?,5.8.1.1 ??? ????? ???? ??????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_8_1_What_are_you_doing_differently},'Treating_drinking_water')",,,,
text,Q5_8_1_1_Other,5.8.1.1 Other (specify),5.8.1.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_8_1_1_How_did_you_treat_drinking_water},'Other')",,,,
select_multiple q0501R,Q5_8_1_2_Which_source_is_your_drinking_water_source,5.8.1.2 Which source is your drinking water source?,5.8.1.2 ?? ???? ?? ???? ???? ????? ????? ???,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'Dont_Know') and count-selected(.)>1)","You can not select  "" Don't_Know "" with another option","?????? ?????? ""?? ???? "" ?? ???? ???? ","selected(${Q5_8_1_What_are_you_doing_differently},'Using_different_source_for_drinking_than_for_other_household_needs')",,,,
text,Q5_8_1_2_Other,5.8.1.2 Other (specify),5.8.1.2 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_8_1_2_Which_source_is_your_drinking_water_source},'Other')",,,,
select_one yes_no,Q5_9_Have_you_treated_your_drinking_water_in_any_way_in_the_last_week_to_make_it_safer_to_drink,5.9 Have you treated your drinking water in any way in the last week to make it safer to drink?,5.9 ?? ????? ???? ????? ??? ????? ???? ??????? ?????? ?????? ???? ?????? ??????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_8_Are_you_differentiating_in_any_way_between_your_drinking_water_and_non_drinking_water},'No')",,,,
select_multiple q050801R,Q5_10_What_do_you_usually_do_to_the_water_to_make_it_safer_to_drink,5.10 What do you usually do to the water to make it safer to drink?,5.10 ???? ???? ???? ??????? ?????? ???? ?????? ??????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'Nothing') and count-selected(.)>1)","You can not select  "" Nothing "" with another option","?????? ?????? ""?? ??? "" ?? ???? ???? ","selected(${Q5_9_Have_you_treated_your_drinking_water_in_any_way_in_the_last_week_to_make_it_safer_to_drink},'Yes')",,,,
text,Q5_10_Other,5.10 Other (specify),5.10 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_10_What_do_you_usually_do_to_the_water_to_make_it_safer_to_drink},'Other')",,,,
select_one q05080101R,Q5_10_1_How_did_you_treat_drinking_water,5.10.1 How did you treat drinking water? ,5.10.1 ??? ????? ???? ??????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_10_What_do_you_usually_do_to_the_water_to_make_it_safer_to_drink},'Treating_drinking_water')",,,,
text,Q5_10_1_Other,5.10.1 Other (specify),5.10.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_10_1_How_did_you_treat_drinking_water},'Other')",,,,
select_one q0511R,Q5_11_Did_your_household_spend_2_consecutive_days_or_more_without_water_in_the_last_30_days,5.11 Did your household spend 2 consecutive days or more without water in the last 30 days?,5.11 ?? ??? ????? ????? ???????? ?? ???? ???? ??? ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,,,,,
select_one q0512R,Q5_12_Overall_is_your_current_access_to_water_enough_to_meet_or_satisfy_the_basic_needs_of_your_household_members,"5.12 Overall, is your current access to water enough to meet or satisfy the basic needs of your household members?","5.12 ???? ???? ?? ????? ?????? ??? ?????? ???? ?????? ?? ????? ?????????? ???????? ?????? ??????",(Select one),(???? ?????),,yes,,,,,,,,,
select_multiple q051201R,Q5_12_1_What_are_the_main_reasons_you_are_not_able_to_meet_your_water_needs,5.12.1 What are the main reasons you are not able to meet your water needs?,5.12.1 ???? ??????? ???????? ???? ????? ??? ???? ??? ????? ????????? ?? ???????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'Dont_Know') and count-selected(.)>1)","You can not select  "" Don't_Know "" with another option","?????? ?????? ""?? ???? "" ?? ???? ???? ","selected(${Q5_12_Overall_is_your_current_access_to_water_enough_to_meet_or_satisfy_the_basic_needs_of_your_household_members},'Just_enough_barely_enough') or selected(${Q5_12_Overall_is_your_current_access_to_water_enough_to_meet_or_satisfy_the_basic_needs_of_your_household_members},'Insufficient') or selected(${Q5_12_Overall_is_your_current_access_to_water_enough_to_meet_or_satisfy_the_basic_needs_of_your_household_members},'Totally_insufficient')",,,,
text,Q5_12_1_Other,5.12.1 Other (specify),5.12.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_12_1_What_are_the_main_reasons_you_are_not_able_to_meet_your_water_needs},'Other')",,,,
select_multiple q05120101R,Q5_12_1_1_For_which_household_members_is_fetching_water_dangerous,5.12.1.1 For which household members is fetching water dangerous?,5.12.1.1 ?? ?? ????? ?????? ??? ??? ?????? ????? ?????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,,,,"selected(${Q5_12_1_What_are_the_main_reasons_you_are_not_able_to_meet_your_water_needs},'Fetching_water_is_a_dangerous_activity')",,,,
select_multiple q0504R,Q5_12_1_2_Which_household_members_do_not_have_access_to_the_water_points,5.12.1.2 Which household members do not have access to the water points?,5.12.1.2 ?? ?? ????? ?????? ?? ???????? ?????? ??? ???? ??????? ,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,,,,"selected(${Q5_12_1_What_are_the_main_reasons_you_are_not_able_to_meet_your_water_needs},'Some_household_members_do_not_have_access_to_the_water_points')",,,,
select_one yes_no_dt,Q5_12_1_3_Does_the_HH_member_s_you_identified_with_physical_cognitive_difficulties_have_safe_access_to_water_points,5.12.1.3 Does the HH member(s) you identified with physical/cognitive difficulties have safe access to water points?,5.12.1.3 ?? ??? ????? ?????? ??? ???????? ???????/ ???????? ???? ??? ????? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_12_1_What_are_the_main_reasons_you_are_not_able_to_meet_your_water_needs},'Some_household_members_do_not_have_access_to_the_water_points') and not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
select_multiple q051202R,Q5_12_2_Have_members_of_your_household_used_any_of_the_following_coping_mechanisms_for_a_lack_of_water_in_the_last_30_days,5.12.2 Have members of your household used any of the following coping mechanisms for a lack of water in the last 30 days?,5.12.2 ?? ?????? ????? ????? ???? ?? ????? ?????? ??????? ???? ?????? ???? ??? 30 ????? ????????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'None') and count-selected(.)>1)","You can not select  "" None "" with another option","?????? ?????? ""?? ??? "" ?? ???? ???? ","selected(${Q5_12_Overall_is_your_current_access_to_water_enough_to_meet_or_satisfy_the_basic_needs_of_your_household_members},'Just_enough_barely_enough') or selected(${Q5_12_Overall_is_your_current_access_to_water_enough_to_meet_or_satisfy_the_basic_needs_of_your_household_members},'Insufficient') or selected(${Q5_12_Overall_is_your_current_access_to_water_enough_to_meet_or_satisfy_the_basic_needs_of_your_household_members},'Totally_insufficient')",,,,
text,Q5_12_2_Other,5.12.2 Other (specify),5.12.2 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_12_2_Have_members_of_your_household_used_any_of_the_following_coping_mechanisms_for_a_lack_of_water_in_the_last_30_days},'Other')",,,,
integer,Q5_13_What_percentage_of_household_income_is_used_to_buy_water,5.13 What percentage of household income is used to buy water? ,5.13 ???? ?????? ??????? ?? ??? ?????? ???? ?????? ????? ???????,(Numbers),(????????),numbers,yes,,.>=0 and .<=100,0-100,0-100,,,,,
integer,Q5_14_How_much_your_HH_spent_in_the_past_30_days_on_purchasing_water_in_SYP,5.14 How much has your HH spent in the past 30 days on purchasing water? (in SYP),5.14 ???? ?????? ???? ????? ????? ???? ??? 30 ????? ???????  ????? ??????? (???? ?????),(Numbers),(????????),numbers,yes,,,,,,,,,
select_one yes_no_i_cnda,Q5_15_Would_you_be_willing_to_pay_for_regular_safe_water_supply_service_at_your_household,5.15 Would you be willing to pay for regular safe water supply service at your household?,5.15 ?? ??? ???? ???? ?????? ???? ????? ???? ???? ??????? ??? ??????,(Select one),(???? ?????),,yes,,,,,,,,,
integer,Q5_15_1_What_is_the_maximum_amount_SYP_you_would_be_willing_to_pay_per_month_for_regular_safe_water_supply_service_at_your_household,5.15.1 What is the maximum amount (SYP) you would be willing to pay per month for regular safe water supply service at your household?,5.15.1 ???? ???? ?????? ?????? (???? ?????) ???? ???? ????? ?????? ???? ???? ????? ???? ???? ??????? ??? ??????,(Numbers),(????????),numbers,yes,,,,,"selected(${Q5_15_Would_you_be_willing_to_pay_for_regular_safe_water_supply_service_at_your_household},'Yes')",,,,
select_one yes_no,Q5_16_Did_you_use_containers_to_collect_and_or_store_water_in_the_last_week,5.16 Did you use containers to collect and/or store water in the last week?,5.16 ?? ??????? ????? ???? ?/ ?? ????? ?????? ?? ??????? ???????,(Select one),(???? ?????),,yes,,,,,,,,,
select_multiple q051601R,Q5_16_1_Which_types_of_containers_do_you_use,5.16.1 Which types of containers do you use?,5.16.1 ???? ????? ??????? ???? ?????????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,,,,"selected(${Q5_16_Did_you_use_containers_to_collect_and_or_store_water_in_the_last_week},'Yes')",,,,
begin group,GQ5_16_1,,,,,field-list,,,,,,"selected(${Q5_16_1_Which_types_of_containers_do_you_use},'Roof_Top_Tank')",,,,
integer,Q5_16_1_1_How_many_roof_top_tanks_does_your_household_use,5.16.1.1 How many roof top tanks does your household use?,5.16.1.1 ?? ??? ?????? ????? ???? ???????? ??????,(Numbers),(????????),numbers,yes,,.>0,,,,,,,
integer,Q5_16_1_2_What_is_the_total_volume_of_all_of_your_roof_tanks,5.16.1.2 What is the total volume of all of your roof tanks?,5.16.1.2 ???? ????? ???????? ????? ?????? ????? ?????? ???,(Numbers)(L),(????????)(???),numbers,yes,,.>0,,,,,,,
integer,Q5_16_1_3_How_many_times_did_you_fill_your_roof_top_tanks_last_month,5.16.1.3 How many times did you fill your roof top tank(s) last month?,5.16.1.3 ?? ??? ??? ?????? ???? (??????) ????? ????? ?? ???? ????? ???????,(Numbers),(????????),numbers,yes,,,,,,,,,
end group,GQ5_16_1,,,,,,,,,,,,,,,
begin group,GQ5_16_2,,,,,field-list,,,,,,"selected(${Q5_16_1_Which_types_of_containers_do_you_use},'Barrel')",,,,
integer,Q5_16_2_1_How_many_barrels_does_your_household_use,5.16.2.1 How many barrels does your household use?,5.16.2.1 ?? ??? ???????? ???? ??????? ??????,(Numbers),(????????),numbers,yes,,.>0,,,,,,,
integer,Q5_16_2_2_What_is_the_total_volume_of_all_of_your_barrels,5.16.2.2 What is the total volume of all of your barrels?,5.16.2.2 ???? ????? ???????? ????? ???????? ?????? ???,(Numbers),(????????),numbers,yes,,.>0,,,,,,,
integer,Q5_16_2_3_How_many_times_did_you_fill_your_barrel_s_last_week,5.16.2.3 How many times did you fill your barrel(s) last week?,5.16.2.3 ?? ??? ??? ?????? ??????? (????????) ????? ?? ???? ??????? ???????,(Numbers),(????????),numbers,yes,,,,,,,,,
end group,GQ5_16_2,,,,,,,,,,,,,,,
begin group,GQ5_16_3,,,,,field-list,,,,,,"selected(${Q5_16_1_Which_types_of_containers_do_you_use},'Jerry_Can')",,,,
integer,Q5_16_3_1_How_many_jerry_cans_does_your_household_use,5.16.3.1 How many jerry cans does your household use?,5.16.3.1 ?? ??? ??????? (?????????) ???? ??????? ??????,(Numbers),(????????),numbers,yes,,.>0,,,,,,,
integer,Q5_16_3_2_What_is_the_total_volume_of_all_of_your_jerry_cans,5.16.3.2 What is the total volume of all of your jerry cans?,5.16.3.2 ???? ????? ???????? ????? ??????? (?????????) ?????? ???,(Numbers),(????????),numbers,yes,,.>0,,,,,,,
integer,Q5_16_3_3_How_many_times_did_you_fill_your_jerry_can_s_last_week,5.16.3.3 How many times did you fill your jerry can(s) last week?,5.16.3.3 ?? ??? ??? ?????? ??????? (???????) ????? ?? ???? ??????? ???????,(Numbers),(????????),numbers,yes,,,,,,,,,
end group,GQ5_16_3,,,,,,,,,,,,,,,
begin group,GQ5_16_4,,,,,field-list,,,,,,"selected(${Q5_16_1_Which_types_of_containers_do_you_use},'Water_Bucket')",,,,
integer,Q5_16_4_1_How_many_water_buckets_does_your_household_use,5.16.4.1 How many water buckets does your household use?,5.16.4.1 ?? ??? ??? ?????? ???? ??????? ??????,(Numbers),(????????),numbers,yes,,.>0,,,,,,,
integer,Q5_16_4_2_What_is_the_total_volume_of_all_of_your_water_buckets,5.16.4.2 What is the total volume of all of your water buckets?,5.16.4.2 ???? ????? ???????? ????? ??????(??? ??????) ?????? ???,(Numbers),(????????),numbers,yes,,.>0,,,,,,,
integer,Q5_16_4_3_How_many_times_did_you_fill_your_water_bucket_s_last_week,5.16.4.3 How many times did you fill your water bucket(s) last week?,5.16.4.3 ?? ??? ??? ?????? ??? ????? (??????) ????? ?? ???? ??????? ???????,(Numbers),(????????),numbers,yes,,,,,,,,,
end group,GQ5_16_4,,,,,,,,,,,,,,,
begin group,GQ5_16_5,,,,,field-list,,,,,,"selected(${Q5_16_1_Which_types_of_containers_do_you_use},'Small_household_containers')",,,,
integer,Q5_16_5_1_How_many_small_household_containers_does_your_household_use,5.16.5.1 How many small household containers does your household use?,5.16.5.1 ?? ??? ??????? ???????? ??????? ???? ??????? ??????,(Numbers),(????????),numbers,yes,,.>0,,,,,,,
integer,Q5_16_5_2_What_is_the_total_volume_of_all_of_your_small_household_containers,5.16.5.2 What is the total volume of all of your small household containers?,5.16.5.2 ???? ????? ???????? ????? ??????? ???????? ??????? ?????? ???,(Numbers),(????????),numbers,yes,,.>0,,,,,,,
integer,Q5_16_5_3_How_many_times_did_you_fill_your_small_household_container_s_last_week,5.16.5.3 How many times did you fill your small household container(s) last week?,5.16.5.3 ?? ??? ??? ?????? ???? ????? ???? (??????? ???????? ???????) ????? ?? ???? ??????? ???????,(Numbers),(????????),numbers,yes,,,,,,,,,
end group,GQ5_16_5,,,,,,,,,,,,,,,
select_multiple q0517R,Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access,5.17 Was there one / multiple hygiene item your HH needed to procure in the last 30 days but could not access?,5.17 ?? ??? ???? ???? ????? ?? ???? ?? ???? ??????? ??????? ???? ????? ????? ??? ?????? ???? ??? 30 ????? ??????? ???? ?? ???? ?????? ??????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'Could_access_all_items') and count-selected(.)>1)","You can not select  "" Could access all items "" with another option","?????? ?????? ""???? ?????? ??? ???? ?????? "" ?? ???? ???? ",,,,,
text,Q5_17_Other,5.17 Other (specify),5.17 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Other')",,,,
begin group,GQ5_17_1,,,,,field-list,,,,,,"not(selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Could_access_all_items'))",,,,
note,NQ5_17_1_Please_specify_why_you_couldnt_access_the_following,5.17 Please specify why you couldn't access the following:,5.17.1 ???? ????? ??? ??? ?????? ??? ?? ???:,(Select one),(???? ?????),,,,,,,,,,,
select_one q051701R,Q5_17_1_Sanitary_pads,Sanitary pads:,????? ??????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Sanitary_pads')",,,,
select_one q051701R,Q5_17_1_Soap_bar,Soap bar:,??? ?????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Soap_bar')",,,,
select_one q051701R,Q5_17_1_Jerry_can_bucket,Jerry can bucket:,??? ???? ?????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Jerry_can_bucket')",,,,
select_one q051701R,Q5_17_1_Shampoo_adults,Shampoo adults:,????? ????????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Shampoo_adults')",,,,
select_one q051701R,Q5_17_1_Shampoo_babies,Shampoo babies:,????? ???????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Shampoo_babies')",,,,
select_one q051701R,Q5_17_1_Disposable_diapers,Disposable diapers:,?????? ???? ?????? ????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Disposable_diapers')",,,,
select_one q051701R,Q5_17_1_Washing_powder,Washing powder:,????? ????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Washing_powder')",,,,
select_one q051701R,Q5_17_1_Toothbrush_adults,Toothbrush adults:,????? ????? ????????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Toothbrush_adults')",,,,
select_one q051701R,Q5_17_1_Toothpaste_adults,Toothpaste adults:,????? ????? ????????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Toothpaste_adults')",,,,
select_one q051701R,Q5_17_1_Toothbrush_child,Toothbrush child:,????? ????? ???????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Toothbrush_child')",,,,
select_one q051701R,Q5_17_1_Toothpaste_child,Toothpaste child:,????? ????? ???????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Toothpaste_child')",,,,
select_one q051701R,Q5_17_1_Detergent_for_dishes,Detergent for dishes:,?????? ?????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Detergent_for_dishes')",,,,
select_one q051701R,Q5_17_1_Cleaning_liquid_for_house,Cleaning liquid for house:,???? ????? ??????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Cleaning_liquid_for_house')",,,,
select_one q051701R,Q5_17_1_Washing_line, Washing line:,??? ??????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Washing_line')",,,,
select_one q051701R,Q5_17_1_Nail_clippers,Nail clippers:,????? ?????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Nail_clippers')",,,,
select_one q051701R,Q5_17_1_Plastic_Garbage_Bags,Plastic Garbage Bags:,????? ??????? ???????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Plastic_Garbage_Bags')",,,,
select_one q051701R,Q5_17_1_Towel,Towel:,?????,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Towel')",,,,
select_one q051701R,Q5_17_1_Comb,Comb:,???,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Comb')",,,,
select_one q051701R,Q5_17_1_Other,${Q5_17_Other} :,${Q5_17_Other} :,,,,yes,,,,,"selected(${Q5_17_Was_there_one_multiple_hygiene_item_your_HH_needed_to_procure_in_the_last_30_days_but_could_not_access},'Other')",,,,
end group,GQ5_17_1,,,,,,,,,,,,,,,
integer,Q5_18_What_percentage_of_your_income_is_used_to_buy_hygiene_supplies,5.18 What % of your income is used to buy hygiene supplies?,5.18 ???? ???? ???? ????????? ????? ???????? ????????,(Numbers),(????????),numbers,yes,,.>0 and .<=100,0-100,0-100,,,,,
integer,Q5_19_How_much_your_HH_spent_in_the_past_30_days_on_purchasing_hygiene_Item_in_SYP,5.19 How much has your HH spent in the past 30 days on purchasing hygiene Item (in SYP)?,5.19 ?? ?? ?????? ???? ????? ????? ???? ??? 30 ????? ??????? ??? ???? ???? ??????? (???? ?????)?,(Numbers),(????????),numbers,yes,,,,,,,,,
select_one q0520R,Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months,5.20 What is the most common way you disposed of garbage in the last 3 months?,5.20 ???? ??????? ?????? ?????? ?????? ?? ??????? ???? ??? 3 ???? ????????,(Select one),(???? ?????),,yes,,,,,,,,,
text,Q5_20_Other,5.20 Other (specify),5.20 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Other')",,,,
select_one q052001R,Q5_20_1_Where_is_the_garbage_dumped,5.20.1 Where is the garbage dumped?,5.20.1 ??? ??? ????? ????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Public_garbage_collection_free') or selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Private_garbage_collection_paid') or selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Garbage_left_in_public_areas') or selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Garbage_disposed_of_by_household_to_a_dumping_location')",,,,
select_one q052002R,Q5_20_2_How_frequently_was_garbage_collected_in_the_last_30_days,5.20.2 How frequently was garbage collected in the last 30 days?,5.20.2 ?? ??? ?? ??? ??????? ???? ??? 30 ????? ????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Public_garbage_collection_free') or selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Private_garbage_collection_paid')",,,,
integer,Q5_20_3_What_percentage_of_your_income_is_used_to_buy_garbage_removal_services,5.20.3 What % of your income is used to buy garbage removal services? ,5.20.3 ???? ???? ???? ????????? ?? ???? ????? ?????? ?? ????????,(Numbers),(????????),numbers,yes,,,,,"selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Private_garbage_collection_paid')",,,,
integer,Q5_20_4_How_much_has_your_HH_spent_in_the_past_30_days_to_buy_garbage_removal_services_in_SYP,5.20.4 How much has your HH spent in the past 30 days to buy garbage removal services (in SYP)?,5.20.4 ???? ?????? ???? ????? ????? ???? ??? 30 ????? ??????? ????? ????? ?????? ?? ??????? (???? ?????)?,(Numbers),(????????),numbers,yes,,,,,"selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Private_garbage_collection_paid')",,,,
select_one yes_no_i_cnda,Q5_20_5_Would_you_would_be_willing_to_pay_for_garbage_removal_services_at_your_household,5.20.5 Would you be willing to pay for garbage removal services at your household?,5.20.5 ?? ???? ???? ?????? ????? ?????? ?? ??????? ?? ??????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Public_garbage_collection_free') or selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Garbage_left_in_public_areas') or selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Garbage_disposed_of_by_household_to_a_dumping_location') or selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Other') or selected(${Q5_20_What_is_the_most_common_way_you_disposed_of_garbage_in_the_last_3_months},'Garbage_buried_or_burned')",,,,
integer,Q5_20_5_1_What_is_the_maximum_amount_SYP_you_would_be_willing_to_pay_per_month_for_garbage_removal_services_at_your_household,5.20.5.1 What is the maximum amount (SYP) you would be willing to pay per month for garbage removal services at your household?,5.20.5.1 ???? ???? ?????? ?????? (???? ?????) ???? ???? ????? ?????? ???? ????? ?????? ?? ??????? ?? ??????,(Numbers),(????????),numbers,yes,,,,,"selected(${Q5_20_5_Would_you_would_be_willing_to_pay_for_garbage_removal_services_at_your_household},'Yes')",,,,
select_one q0521R,Q5_21_Do_your_household_members_have_access_to_a_functioning_toilet,5.21 Do your household members have access to a functioning toilet?,5.21 ?? ??? ????? ????? ???? ??? ????? ?????,(Select one),(???? ?????),,yes,,,,,,,,,
select_multiple q0504R,Q5_21_1_Which_household_members_did_not_have_access_to_toilets,5.21.1 Which household members did not have access to toilets?,5.21.1 ?? ?? ????? ?????? ?? ????? ?? ?????? ??? ?????????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,,,,"selected(${Q5_21_Do_your_household_members_have_access_to_a_functioning_toilet},'Yes_but_only_some_members')",,,,
select_one yes_no_dt,Q5_21_1_1_Does_the_HH_member_s_you_identified_with_physical_cognitive_difficulties_have_safe_access_to_toilets,5.21.1.1 Does the HH member(s) you identified with physical/cognitive difficulties have safe access to toilets?,5.21.1.1 ?? ??? ????? ?????? ??? ???????? ???????/ ???????? ???? ??? ?????????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_21_Do_your_household_members_have_access_to_a_functioning_toilet},'Yes_but_only_some_members') and not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
